Ethnic Group	Birth rate per 1000 persons	Death rate per 1000 persons	Rate of natural increase per cent
All Ethnic Groups	35.8	8.2	2.76
Sinhalese	31.7	7.4	2.43
Ceylon Tamils	34.4	9.1	2.53
Ceylon Moors	40.7	9.4	3.13
Indian Tamils	26.7	11.2	1.55
Burghers	20.3	7.9	1.24
