Age Group	Percentage completed primary and higher levels - Total	Percentage completed primary and higher levels - Male	Percentage completed primary and higher levels - Female
10-14	46.4	44.8	48.0
15-19	67.5	68.6	66.4
20-24	67.3	71.0	63.5
25-34	60.2	66.5	53.6
35-44	46.6	54.9	37.6
45-54	42.2	51.2	31.8
55 & Over	32.4	41.1	21.5
