Country	Sex Ratios
Burma	965
Hongkong	1046
India	1075
Indonesia	982
Iran	1067
Japan	964
Korea	1008
Singapore	1043
Sri Lanka	1061
Nepal	1014
Pakistan	1138
Thailand	991
France	950
United States	948
United Kingdom	945
