Year	Sinhalese	Ceylon Tamils	Indian Tamils	Ceylon Moors	Burghers & Eurasians
1946	38.7	35.6	41.2	41.7	35.3
1953	41.0	39.2	33.0	42.7	31.1
1963	34.5	37.6	28.3	42.9	26.9
1971	29.9	31.8	25.7	39.0	18.3
