Age of Women	1946	1953	1963	1971
15 - 19	23.9	23.7	14.8	10.3
20 - 24	68.4	65.7	57.6	45.9
25 - 29	84.4	84.4	81.0	73.5
30 - 34	87.1	87.8	88.6	85.9
