Ethnic group	Number (in thousands)	Religion	Number (in thousands) - Religion	Religion as percentage of Ethnic Group
Sinhalese	9131.2	Buddhist	8536.9	93.5
Tamils	2598.6	Hindu	2238.9	86.1
Moors and Malays	899.1	Muslim	901.8	100.3
Burghers and Eurasians	45.3	Christian	1004.3	
