Ethnic Group	1881-1891	1891-1901	1901-1911	1911-1921	1921-1946	1946-1953	1953-1963	1963-1971
All Races	0.9	1.7	1.4	0.9	1.6	2.8	2.7	2.2
Sinhalese	1.0	1.4	1.5	1.0	1.7	2.8	2.9	2.4
Low Country Sinhalese			1.6	1.2	1.6	2.6	2.5	2.3
Kandyan Sinhalese			1.4	0.9	1.8	3.2	3.2	2.4
Tamils	0.6	2.8	1.0	0.6	1.2	3.0	2.5	1.0
Ceylon Tamils				0.3	1.4	2.7	2.7	2.5
Indian Tamils				1.3	1.0	3.2	2.3	1.8
Moors	0.7	1.4	1.6	0.7	1.4	3.2	2.8	2.8
Ceylon Moors				0.7	1.6	3.1	3.0	3.5
Indian Moors				0.1	0.3	4.2	1.5	-8.6
Burghers & Europeans	1.7	1.0	1.3	0.9	1.4	1.4		-0.2
Malays	1.3	1.6	0.9	0.3	2.1	1.8	2.5	3.2
