Type	1963 - No.	1963 - Population	1963 - Percentage	1971 - No.	1971 - Population	1971 - Percentage
Municipal Councils	10	1031557	51.2	12	1219682	42.8
Urban Councils	35	581279	28.8	37	771095	27.1
Town Councils	54	403449	20.0	86	857339	30.1
Total	99	2016285	100.0	135	2848116	100.0
