	Employed	Unemployed	Students	Engaged in home duties	Others	Total
T	54.9	10.5	1.4	29.5	3.8	100
M	82.7	11.1	1.5	1.1	3.6	100
F	25.0	9.8	1.3	59.8	3.9	100
