Year	Sex	All Ages - Population	All Ages - Labour force	All Ages - Activity rate	Ages 15 - 59 Years - Population	Ages 15 - 59 Years - Labour force	Ages 15 - 59 Years - Activity rate
1946	T	6,657,339 (100)	2,611,524 (100)	39.2	3,818,949 (100)	2,308,694 (100)	60.5
1946	M	3,532,218 (100)	2,041,524 (100)	57.8	2,072,390 (100)	1,822,396 (100)	87.9
1946	F	3,125,121 (100)	570,000 (100)	18.2	1,746,559 (100)	486,298 (100)	27.8
1953	T	8,907,895 (133)	2,993,349 (115)	37.0	4,445,697 (116)	2,673,624 (116)	60.1
1953	M	4,268,730 (121)	2,268,749 (111)	53.1	2,398,773 (116)	2,044,820 (112)	85.2
1953	F	3,829,165 (123)	724,609 (127)	18.9	2,046,924 (117)	628,804 (129)	30.7
1963	T	10,582,064 (159)	3,451,707 (132)	32.6	5,502,173 (144)	3,099,731 (134)	66.3
1963	M	5,498,674 (156)	2,736,046 (134)	49.8	2,889,200 (139)	2,441,931 (134)	84.5
1963	F	5,083,390 (163)	715,661 (126)	14.1	2,612,973 (150)	657,800 (135)	25.2
1971	T	12,609,897 (191)	4,488,139 (172)	35.4	4,156,512 (109)	3,365,839 (146)	81.0
1971	M	6,531,361 (185)	3,312,469 (162)	50.7	3,038,885 (147)	2,592,218 (142)	85.3
1971	F	6,158,536 (197)	1,175,670 (206)	19.1	1,117,627 (64)	773,621 (159)	69.2
