Category	1963 - Population	1963 - Percentage of total	1971 - Population	1971 - Percentage of total
(a) Total (urban and rural)	10582064	100.0	12689897	100.0
(b) All urban areas	2016285	19.0	2848116	22.4
(c) All areas which were classified as urban in both 1963 and 1971	2016285	19.0	2444919	19.3
