District	Net Migration (Number) - 1946-53	Net Migration (Number) - 1953-63	Net Migration (Number) - 1963-71	Net Migration Rate per 100 - 1946-53	Net Migration Rate per 100 - 1953-63	Net Migration Rate per 100 - 1963-71
Colombo	42011	22792	39237	2.69	1.16	1.16
Kalutara	-11160	-20073	-9472	-2.28	-3.48	-1.39
Kandy	-24070	-57804	-74055	-3.1	-6.14	-6.64
Matale	7536	-19343	-5349	4.22	-8.47	-1.88
Nuwara Eliya	-2866	-25035	-22593	-0.97	-6.93	-5.33
Galle	-15745	-20633	-19502	-3.2	-3.54	-2.83
Matara	-16112	-44246	-46111	-4.21	-9.53	-8.37
Hambantota	3147	-3312	-2201	1.84	-1.42	-0.72
Jaffna	-7089	-13880	-36250	-1.55	-2.51	-5.52
Mannar	5826	292	1846	15.49	0.56	2.68
Vavuniya	5093	14365	5671	17.45	27.7	6.92
Batticaloa	26884	26791	2126	11.35	7.9	0.94
Amparai			-2023			-0.83
Trincomalee	-4611	16546	6430	-5.77	14.87	3.94
Kurunegala	24247	-14446	-22238	4.36	-1.95	-2.37
Puttalam	7227	-322	2569	13.51	-0.12	0.75
Anuradhapura	50245	51644	25120	27.25	16.58	7.51
Polonnaruwa			15694			11.31
Badulla	9758	5300	-32479	2.33	0.95	-5.71
Moneragala			16367			10.06
Ratnapura	-871	-6207	-862	-0.23	-1.28	-0.14
Kegalle	-13701	-27474	-24010	-3.14	-5.23	-3.89
