Country	Average Annual Rate of Growth (1963-72)
United Kingdom	0.4
Norway	0.8
Japan	1.1
U.S.A.	1.1
New Zealand	1.5
Canada	1.6
Australia	1.9
Singapore	2.0
Hongkong	2.0
Sri Lanka (1963-71)	2.2
India	2.2
West Malaysia	2.4
Indonesia	2.1
Pakistan	2.4
Thailand	3.1
Mexico	3.5
Philippines	3.0
Iran	3.0
Iraq	3.3
