	Employed	Unemployed	Engaged in	Income Reci-pient and Pensioners	Too old or Unable to Work	Others Total
Total	28.75	2.34	15.5	8.26	43.95	1.17
Male	48.12	2.48	1.85	11.07	35.1	1.35
Female	5.16	2.18	32.11	4.84	54.73	0.96
