Town	Type	Sex	All Durations	Under 1 year	1 - 4 Yrs.	5 - 9 Yrs.	10 or more years	Duration not stated
Colombo	M.C.	T	38.8	7.2	8.3	6.0	17.3	7.7
Colombo	M.C.	M	42.2	8.3	9.3	6.7	17.9	7.9
Colombo	M.C.	F	34.7	5.8	7.1	5.1	16.6	7.5
Dehiwela Mt.	M.C.	T	45.0	10.6	11.3	8.0	15.1	15.3
Dehiwela Mt.	M.C.	M	45.8	11.5	11.7	8.0	14.7	15.4
Dehiwela Mt.	M.C.	F	44.0	9.6	10.9	8.0	15.5	15.2
Negombo	M.C.	T	19.6	6.0	4.4	2.3	7.0	11.5
Negombo	M.C.	M	21.4	7.2	4.5	2.4	7.4	11.1
Negombo	M.C.	F	17.7	4.7	4.2	2.2	6.5	11.9
Moratuwa	U.C.	T	23.1	6.1	5.8	4.4	6.8	3.3
Moratuwa	U.C.	M	23.0	6.7	5.8	4.4	6.1	3.3
Moratuwa	U.C.	F	23.3	5.6	5.9	4.3	7.2	3.3
Kotte	U.C.	T	46.4	12.3	12.7	7.4	14.0	4.7
Kotte	U.C.	M	48.3	13.2	14.4	7.4	14.7	4.7
Kotte	U.C.	F	44.4	11.3	12.1	7.5	13.6	4.7
Kandy	M.C.	T	38.2	8.8	8.1	6.7	14.8	12.1
Kandy	M.C.	M	39.3	10.0	8.6	6.6	14.2	11.7
Kandy	M.C.	F	37.1	7.4	7.4	6.8	15.4	12.4
Galle	M.C.	T	23.4	4.6	6.3	4.7	7.8	3.0
Galle	M.C.	M	22.8	5.0	6.5	4.2	7.2	2.5
Galle	M.C.	F	24.0	4.3	6.2	5.1	8.5	3.5
Jaffna	M.C.	T	9.4	1.6	1.9	1.6	4.3	12.9
Jaffna	M.C.	M	10.3	1.9	2.2	1.7	4.4	12.9
Jaffna	M.C.	F	8.5	1.3	1.6	1.5	4.1	12.9
