Category	Sex	All Durations	%	Less than 1 year	Less than 1 year - %	1-4 years	1-4 years - %	5-9 years	5-9 years - %	10 yrs & More	10 yrs & More - %
All migrants	T	3304.9	26.04	584.7	4.61	693.1	5.46	551.1	4.34	1476.0	11.63
All migrants	M	1655.6	25.35	323.8	4.96	363.9	5.57	277.1	4.24	690.8	10.58
All migrants	F	1649.3	26.78	260.9	4.24	329.3	5.35	274.1	4.45	785.1	12.75
Migrants within the district	T	1529.3	46.27	253.1	43.29	323.8	46.72	264.1	47.92	688.6	46.65
Migrants within the district	M	721.7	43.59	133.2	41.14	160.8	44.19	127.5	46.01	300.7	43.53
Migrants within the district	F	807.6	48.97	119.9	45.96	163.1	49.53	136.7	49.87	387.9	49.41
Inter-district Migrants	T	1775.6	53.73	331.6	56.71	369.3	53.28	287.0	52.08	787.4	55.35
Inter-district Migrants	M	933.9	56.41	190.6	58.86	203.1	55.81	149.6	53.99	390.1	56.47
Inter-district Migrants	F	841.7	51.03	141.0	54.04	166.2	50.47	137.4	50.13	397.2	50.59
