Year	Sex	Employed	Unemployed	Students	Engaged in home duties	Others	Total
1963	T	27.4	6.7	40.0	20.0	5.7	100.0
1963	M	26.0	10.3	43.3	4.3	6.0	100.0
1963	F	18.5	3.1	36.6	36.3	5.4	100.0
1971	T	21.4	15.2	34.5	17.2	10.6	100.0
1971	M	29.1	18.5	36.7	3.1	13.8	100.0
1971	F	10.9	11.8	32.1	31.6	9.4	100.0
