Year	Sex	Employed	Unemployed	Students	Engaged in home duties	Others	Total
1963	T	5.1	1.1	75.2	8.8	9.7	100.0
1963	M	6.5	1.6	78.7	3.5	9.6	100.0
1963	F	3.6	0.7	71.6	14.3	9.9	100.0
1971	T	3.2	1.8	74.0	5.1	15.8	100.0
1971	M	4.0	2.0	76.6	1.9	15.5	100.0
1971	F	2.3	1.7	71.3	8.6	16.2	100.0
