Age Group	Age-specific fertility rates - 1953	Age-specific fertility rates - 1963	Percent change 1953 - 1963
15-19	288	354	22.9
20-24	394	396	0.5
25-29	339	344	1.5
30-34	280	270	-3.6
35-39	174	175	0.6
40-44	47	53	12.8
45-49	9	8	-11.1
