ETHNIC GROUPS	1881	1891	1901	1911	1921	1931	1946	1953	1963	1971
All Ethnic Groups	100	100	100	100	100	100	100	100	100	100
Sinhalese	66.9	67.9	65.7	66.1	67.0	65.3	69.4	69.3	70.9	72.0
Low Country			40.9	41.8	42.8	41.7	43.6	42.8	42.2	42.8
Kandyan			24.8	24.3	24.2	23.6	25.8	26.5	28.7	29.2
Tamils	24.9	24.0	26.6	25.8	24.9	26.6	22.7	23.0	22.8	20.5
Sri Lanka				12.9	11.5	11.2	11.0	11.0	11.1	11.2
Indian				12.9	13.4	15.4	11.7	12.0	11.7	9.3
Moors	6.7	6.6	6.4	6.5	6.4	6.1	6.2	6.3	6.5	6.7
Sri Lanka				5.7	5.7	5.4	5.6	5.7	6.0	6.5
Indian				0.8	0.7	0.7	0.6	0.6	0.5	0.2
Burghers & Eurasians	0.6	0.7	0.6	0.7	0.6	0.6	0.6	0.6	0.4	0.4
Malays	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
Veddhas	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.0		
Europeans	0.2	0.1	0.1	0.2	0.2	0.2	0.1	0.1		
Others	0.3	0.3	0.2	0.3	0.5	0.5	0.6	0.4	0.2	0.8
