Age	Total	Male	Female	Ratio of male rate to female rate (percentage)
10 & Over	785	856	709	120.7
10-14	830	837	823	101.7
15-19	867	883	851	103.8
20-24	871	910	831	109.5
25-29	847	910	783	116.2
30-34	824	904	738	122.5
35-39	745	863	625	138.1
40-44	749	867	613	141.4
45-49	701	840	544	154.4
50-54	687	833	513	162.4
55-59	639	791	453	174.6
60-64	605	756	410	184.4
65-69	573	735	375	196.0
70-74	532	699	318	219.8
75 & Over	429	608	238	255.5
