ETHNIC GROUP	1881	1891	1901	1911	1921	1946	1953	1963	1971	1981
All Ethnic Groups	2759.7	3007.8	3565.9	4106.4	4498.6	6657.3	8097.9	10582.0	12689.9	14846.8
1. Sinhalese	1846.6	2041.2	2330.8	2715.5	3016.2	4620.5	5616.7	7512.9	9131.2	10977.6
1.(a) Low country			1458.3	1716.9	1927.1	2902.5	3469.5	4470.3	5425.8	
1.(b) Kandyan			872.5	998.6	1089.1	1718.0	2147.2	3042.6	3705.4	
2. Tamils	687.2	723.9	951.7	1059.0	1120.0	1514.3	1858.8	2394.7	2598.6	2705.5
2.(a) Sri Lanka				528.0	517.3	733.7	884.7	1164.7	1423.9	1286.7
2.(b) Indian				531.0	602.7	780.6	974.1	1230.0	1174.6	818.7
3. Moors	184.5	197.2	228.0	266.6	284.9	409.2	511.5	682.2	855.7	1046.7
3.(a) Sri Lanka				233.9	251.9	373.6	464.0	626.8	828.3	
3.(b) Indian				32.7	33.0	35.6	47.5	55.4	27.4	
4. Burghers and Eurasians	17.9	21.2	23.5	26.7	29.4	41.9	45.9	45.9	45.3	39.4
5. Malays	8.9	10.1	11.9	13.0	13.4	22.5	25.5	33.4	43.4	47.0
6. Veddhas	2.2	1.2	4.0	5.3	4.5	2.3	0.8	0.4		
7. Europeans	4.8	4.7	6.3	7.6	8.1	5.4	6.5			
8. Others	7.5	8.3	9.7	12.7	22.0	41.1	32.2	19.5	15.5	28.4
