Age Group	1946 - Widowed	1946 - Divorced	1953 - Widowed	1953 - Divorced	1963 - Widowed	1963 - Divorced	1971 - Divorced	1971 - Legally Separated
15-19	0.6	0.2	0.3	0.2	0.1	0.1	0.1	0.1
20-24	1.8	0.4	1.2	0.5	0.5	0.5	0.2	0.2
25-29	3.4	0.4	2.2	0.6	1.2	0.4	0.3	0.4
30-34	5.9	0.4	4.1	0.6	2.3	0.5	0.5	0.5
35-39	9.8	0.4	7.5	0.6	4.2	0.5	0.5	0.5
40-44	17.1	0.4	13.6	0.6	7.0	0.5	0.4	0.4
45-49	24.8	0.4	21.1	0.6	10.6	0.5	0.5	0.4
