Age Group	Age specific fertility rates - 1963	Age specific fertility rates - 1971	Percent change 1963 - 1971
15-19	52.2	39.8	-23.8
20-24	227.8	184.2	-19.1
25-29	278.4	231.9	-16.7
30-34	239.5	199.1	-16.9
35-39	157.0	131.0	-16.6
40-44	45.8	39.6	-13.5
45-49	6.6	5.6	-15.2
General Fertility Rates (15-44)	166.8	138.7	-16.8
Total Fertility Rates	5.04	4.16	-17.4
