Age Group	Age specific marital fertility rates - 1963	Age specific marital fertility rates - 1971	Percent change 1963 - 1971
15 - 19	354	382	7.9
20 - 24	396	402	1.5
25 - 29	344	316	-8.1
30 - 34	270	232	-14.1
35 - 39	175	147	-16.0
40 - 44	53	46	-13.2
45 - 49	8	7	-12.5
